Date,HUA_clinecenter,SBUX_clinecenter,TIK_clinecenter,HUA_brandwatch,SBUX_brandwatch,TIK_brandwatch
2019-01-14,-2.026,2.447,2.778,-1.622,2.511,3.204
2019-01-15,-1.250,2.170,3.776,-1.840,1.629,2.592
2019-01-16,-0.972,3.312,1.333,-1.985,0.544,3.434
2019-01-17,-1.420,4.143,2.273,-3.008,-1.412,2.894
2019-01-18,-0.215,3.289,2.692,-1.125,-0.858,2.882
2019-01-19,1.087,3.000,0.556,-0.773,-0.701,3.211
2019-01-20,1.441,3.519,0.882,-2.315,-0.015,2.952
2019-01-21,-0.417,2.500,3.000,-1.933,0.438,2.919
2019-01-22,-0.556,1.623,0.833,-0.740,0.059,2.387
2019-01-23,0.365,2.818,2.143,-0.978,1.181,2.182
2019-01-24,-0.698,3.421,0.556,-0.894,0.836,3.279
2019-01-27,-0.909,2.333,0.294,-1.500,-1.086,1.718
2019-01-27,-0.909,2.333,0.294,-1.500,-1.086,1.718
2019-01-28,-2.329,1.707,2.500,-3.872,0.098,2.922
2019-01-28,-2.329,1.707,2.500,-3.872,0.098,2.922
2019-01-29,-1.945,2.165,0.758,-3.853,-2.205,2.495
2019-01-29,-1.945,2.165,0.758,-3.853,-2.205,2.495
2019-01-30,0.288,2.745,0.625,-2.529,-3.300,2.827
2019-01-30,0.288,2.745,0.625,-2.529,-3.300,2.827
2019-01-31,0.076,2.419,1.984,-0.741,-2.815,3.063
2019-01-31,0.076,2.419,1.984,-0.741,-2.815,3.063
2019-02-01,0.425,1.860,2.812,0.304,-2.030,3.012
2019-02-01,0.425,1.860,2.812,0.304,-2.030,3.012
2019-02-02,-1.500,1.905,1.429,0.208,-1.756,1.255
2019-02-02,-1.500,1.905,1.429,0.208,-1.756,1.255
2019-02-03,-0.694,3.197,-1.875,0.556,-0.836,2.281
2019-02-03,-0.694,3.197,-1.875,0.556,-0.836,2.281
2019-02-04,0.033,2.234,0.641,-0.507,-0.327,3.370
2019-02-04,0.033,2.234,0.641,-0.507,-0.327,3.370
2019-02-05,0.414,2.553,0.806,-1.537,0.539,3.266
2019-02-05,0.414,2.553,0.806,-1.537,0.539,3.266
2019-02-06,-0.625,2.647,0.556,-1.515,0.738,3.668
2019-02-06,-0.625,2.647,0.556,-1.515,0.738,3.668
